127.0.0.1 - - [14/Oct/2021:19:22:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2021:19:22:43 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [14/Oct/2021:19:22:43 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Oct/2021:19:22:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:39:40 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:39:40 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:25 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:26 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:27 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:27 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:27 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:47 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:48 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:48 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:41:48 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:21 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:22 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:22 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:22 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:23 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:23 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:44:33 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:45:35 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:45:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:46:27 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:20:46:27 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 200 2609
