127.0.0.1 - - [18/Oct/2021:19:11:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:11:32 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:11:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:11:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:19 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:19 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:19 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:19 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:20 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:44 +0900] "GET /javascriptProject/ismobile_test.html HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:12:44 +0900] "GET /javascriptProject/js/ismobile.js HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:09 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:09 +0900] "GET /javascriptProject/js/browser.js HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:12 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:12 +0900] "GET /javascriptProject/js/browser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:12 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:12 +0900] "GET /javascriptProject/js/browser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:13 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:13 +0900] "GET /javascriptProject/js/browser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:17 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:17 +0900] "GET /javascriptProject/js/browser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:17 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:17 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:47 +0900] "GET /javascriptProject/browser_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:47 +0900] "GET /javascriptProject/js/browser.js HTTP/1.1" 200 661
