127.0.0.1 - - [17/Oct/2021:09:57:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/mainpage.html HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/%EC%9D%B4%EB%B2%A4%ED%8A%B8%20%EA%B7%B8%EB%A6%BC HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/%ED%95%B4%EB%8B%B9%20%ED%8C%8C%EC%9D%BC%EA%B2%BD%EB%A1%9C HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/css/mainpage.css HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /layoutproject/image/logo.png HTTP/1.1" 200 6583
0:0:0:0:0:0:0:1 - - [17/Oct/2021:09:57:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:02:59 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:02:59 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 200 5531
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:02:59 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:02:59 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:02:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:07 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:07 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:07 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:07 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:09 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:09 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:09 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:10 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:10 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:10 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:11 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:11 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:11 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:12 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:12 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:12 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:12 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:12 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:04:12 +0900] "GET /layoutproject/image/ee.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:05:30 +0900] "GET /layoutproject/detailpage.html HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:05:30 +0900] "GET /layoutproject/css/detailpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2021:10:05:30 +0900] "GET /layoutproject/image/delivery.png HTTP/1.1" 404 847
